City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Wuppertal,39.63,79.1,101.8,106.32,97.62,102.65,115.57,109.42,119.7,112.14,130.03,111.46,138.82,101.32,112.59,125.03,105.81,118.14,91.15,118.01,115.05,113.61,131.95,107.31,114.15,112.89,121.94,113.48,135.32,111.35,109.99,87.57,97.12,77.59,85.48,69.98
Tallinn,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.5,2,1.13,1,3.5,4.33,4.9,5.37,4.42,5.17,5.6,7.07,6.32,5.12,12.52,18.25,29.5,31.22,23.87,17.4,13.38
Dublin,:,5,9.5,12.67,14.16,13.5,11,16.96,26.92,22.23,27.22,31.61,28.91,33.96,32.3,40.41,43.67,47.78,55.65,55.27,71.26,77.8,104.87,109.66,126.67,90.68,72.99,109.67,93.41,109.64,134.44,130.21,136.65,122.73,168.28,125.48
Cork,:,:,1,2.33,2,1,6,6.98,5,8.6,6.58,4.14,4,7.17,10.2,4.49,3.5,4.42,11.12,20.89,11.98,36.03,42.12,31.45,29.48,45.09,45.98,37.66,43.72,36.27,35.84,44.69,54.53,35.65,46.85,14.17
Athina,1,1,3.17,3.53,6.2,6.33,4,9.08,4.83,9.9,16,10.08,16,13.5,16.58,26.25,8.5,22.41,17.18,27.28,35.2,40.61,36.98,32.72,42.27,45.92,52.25,43.12,66.82,59.32,60.13,54.73,51.73,37.73,44.53,50.73
Thessaloniki,:,:,:,:,:,1,1.67,2,:,4.17,:,4.5,3,6,2,4,3,3,4,5.5,8.5,8.5,6.92,9.92,9.6,10.48,12.67,8.33,16.5,22.9,11.76,10.2,16.1,12.61,17.81,6.49
Madrid,1,6,3,6.83,5.5,9.83,28.17,29.17,33.83,35.06,36.85,43.99,62.17,63.25,74.42,76.76,82.54,84.57,81.55,84.92,108.73,144.89,155.58,131,162.9,142.75,166.12,209.32,244.56,255.2,263.46,305.33,349.61,314.05,314.17,246.06
Barcelona,:,9.33,8.25,17.33,24.75,32.67,46.17,34.2,48,57.67,76.75,94.35,113.27,106.52,124.32,82.81,131.39,139.37,136.28,145.64,194.07,184.81,229.41,273.11,295.95,332.03,347.1,436.63,436.87,458.3,464.93,443.39,435.91,406.87,441.45,391.09
Valencia,:,:,:,1,:,1.5,3,1,3,6,5,9.33,9.33,7.33,9,7.25,17.81,29.12,12,20.25,27.65,29.68,46.7,41.51,65.61,58.99,62.09,72.67,62.92,46.44,75.71,75.69,86.99,62.83,72.57,70.47
Sevilla,:,:,:,:,2,:,0.6,:,:,1.2,2.33,6.26,2.17,4,3.33,1.5,1.33,2.96,1.75,6.42,11.95,5.7,8.17,14.12,9.76,10.52,12.52,10.57,25.85,20.91,21.8,22.34,46.69,37.57,30.79,34.23
Zaragoza,1,2,1.33,:,:,1,2,:,:,1,2,3,3.5,4.5,9,12.5,8.5,8.53,12,20,17.17,32.92,15.88,32.58,20.72,44.17,29.52,28.59,47.79,40.38,69.63,52.66,72.11,73.25,101.4,69.52
Málaga - Marbella,:,1,5.33,:,4.33,5.5,2,2,2,2.5,1,2.5,1.5,4,2,2.5,0.92,2.17,5.33,8.08,12,5,9,13.87,12.39,18.42,12,12.03,5.7,8.62,9.18,15.89,8.83,15.3,10.29,10.37
Murcia - Cartagena,:,:,1,4,1,:,:,0.5,:,2,0.5,:,:,:,3.33,3,2.13,3,3.67,0.39,5,7,5.38,10.58,7.36,11.25,9,10.25,12.36,16.78,23.98,14.53,18.6,28.35,20.08,29.39
Las Palmas,:,:,0.33,2,1,:,1,1,1,:,:,:,1,1,0.2,1,2,1,1.2,2,1.5,1,3,5,2,3,3,1,5,1.67,3.25,3.33,0.33,2,4.33,5.42
Valladolid,:,:,:,:,:,:,0.33,:,1,:,:,:,:,:,:,0.25,0.78,2,1,3,3.5,2.54,4.73,2.75,4.14,7.33,7.92,4.94,10.87,5.33,18.38,10.92,15.81,8.28,14.29,12.71
Palma de Mallorca,:,:,1,:,:,1.5,1,:,:,2.5,4,:,2,:,1,1,2,1,2,4,2.5,7.2,5.76,7.6,6.74,1,6,7.83,5.07,9.67,7.33,10.63,8.8,11.6,7.33,8.94
Vitoria/Gasteiz,:,:,:,:,:,2.83,:,:,2,:,6,2,3,1,6.67,4,7.31,5,5.5,12.33,6.89,7,13.83,16.5,13.46,16.33,13.48,13.27,27.44,21.52,24.65,24.81,22.37,24.56,24.68,32.35
Oviedo - Gijón,:,:,:,:,:,:,:,2,1,:,1.57,:,0.67,1.33,3.5,5,5.52,6.5,4.96,5,3.16,6.62,9.09,8.33,12.6,6.5,6.64,15.33,17.8,15.33,18.52,27.64,23.45,14.9,17.38,9.86
Pamplona/Iruña,:,:,1,1,3,3,2,1,2,1,:,4,4.17,10,12,13.58,6.94,9.5,19.5,12.29,19.6,21.76,25.39,22.53,22.98,36.25,29,62.07,61.1,47.92,61.17,64.15,51.25,74.41,47.15,38.92
Santander,:,:,1,:,1,:,2,:,3,:,:,2,2,:,3,5,1,1.5,3.17,1,3.33,3.2,5.23,0.7,4.67,0.67,5.12,4.87,8.33,11.17,5.01,11.17,17.25,15.6,11.93,10
Bilbao,:,2,1,1,:,0.5,:,2,1,2,3,14.09,6,8,9.58,6,18.4,6.17,8.5,10.89,18.28,20.23,17.83,20.93,34.07,27.58,27.67,38.8,56.15,51.98,53.56,54.5,60.77,72.13,64.22,52.69
Córdoba,:,:,:,:,:,:,:,0.33,:,:,:,:,:,:,:,1.42,:,1.5,:,0.5,2.1,1.75,3.25,1.29,0.83,1,3.5,4.1,1.5,3,4.83,4.58,4.53,9.75,3,4.5
Alicante/Alacant - Elche/Elx,:,:,:,:,:,1,1.5,1,4,4,2.5,3.5,2,6,15,9,16.17,19,20.33,14,15.84,23.75,26.33,31.08,20.85,26.87,14.13,30.67,37.96,27.78,20.13,28.95,22.7,33.32,29.73,21.9
Vigo,:,:,:,:,1,:,1,:,:,2,:,2.33,1,:,:,0.2,4.29,1,4.5,5.64,6.77,8,4.55,2.5,7.2,12.06,7.37,13.69,12.87,14.56,16.25,12.33,19.03,6.13,13.96,15.33
Santa Cruz de Tenerife,:,:,0.67,:,:,:,1.5,:,0.5,:,:,1,1.5,0.33,0.5,:,3,1.5,2,2,1.13,3,2,6.5,2,4.5,8,7,6.57,6,3.1,8,5.62,4.67,6.33,5.12
A Coruña,:,:,:,:,1,0.2,1.5,:,2,:,0.2,1,:,2,2.67,1.2,0.33,:,5,2,2.67,2.33,2.33,3.67,5.43,7.17,13.17,12.14,16.5,17.05,10.92,21.28,23.63,27.46,28.24,13.39
Granada,:,:,:,1,:,:,:,1.5,1,2,4,:,1,3.5,1,2,3,:,:,3,1.4,:,2,1.08,5,10.55,4.53,8.12,8.21,15.15,7.14,12.72,8.9,10.73,11.42,15.13
Guipúzcoa,:,:,:,2,1,0.67,1,:,4,4.2,4.5,4.09,5.5,10.56,5.03,11.54,11.5,15,8.5,23.4,31.55,25.75,39.67,38.7,34.18,34.97,37.83,53.25,51.77,67.05,58.87,62.54,58.63,78.44,68.74,55.6
Cádiz,:,:,:,:,:,1,1,:,1,:,1,:,:,2,:,0.5,5.57,3,2.67,1,1.42,1,2.2,3,3.58,5,8.33,1,4.33,11.79,3.4,4.2,18,1.25,1.58,6.89
Paris,158.75,650.84,"1,140.68","1,239.58","1,431.27","1,435.19","1,542.51","1,527.80","1,708.80","1,767.22","1,932.02","2,126.33","2,128.21","2,146.55","2,207.17","1,983.31","1,989.93","2,083.26","2,160.04","2,246.58","2,559.26","2,858.20","3,016.34","2,923.77","2,926.99","2,810.61","3,123.01","3,341.41","3,051.79","3,135.28","3,136.96","3,155.61","3,044.84","2,843.98","3,022.38","2,359.58"
Lyon,19.33,66.9,120.28,132.05,156.98,146.43,174.28,200.82,194.97,235.57,276.59,299.9,319.22,265.17,272.18,221.32,259.4,248.39,270.54,312.18,326.41,355.36,343.39,370.84,335.08,350.27,362.18,360.02,371.49,424.22,427.05,487.53,438.66,439.38,454.7,286
Toulouse,7.33,11.58,23.25,35.45,38.9,39.57,38.78,48.48,83.88,64.3,95.61,90.42,103.24,95.37,95.03,71.34,115.08,94.64,102.12,106.68,139.78,158.54,154.13,168.49,192.27,195.14,204.47,253.31,306.3,287.87,276.73,285.66,270.03,250.22,257.29,215.48
Strasbourg,3,11.7,14.28,15.18,45.83,48.87,51.18,70.28,70.58,94.13,105.33,135.87,128.06,114.81,112,124.89,145.3,95.71,84.73,109.39,117.4,122.86,141.05,151.46,130.04,156.67,145.65,167.07,159.62,149.92,172.16,202.82,177.11,204.29,182.15,158.24
Bordeaux,1,13.42,14.62,26.33,19.05,39.25,38.42,38,51.55,57.15,54.89,65.87,84.26,75.18,67.87,67.14,55.1,49.83,66.15,66.29,71.29,61.95,64.15,77.54,84.88,78.06,84.01,109.84,102.34,103.9,131.94,133.91,145.86,128.64,122.7,105.98
Nantes,1.2,12.5,18.5,21.84,26.28,26.67,30.83,22.2,32.67,23.08,30.52,39.53,31.96,36.99,30.42,44.01,41.83,57.41,46.36,59.89,52.26,80.18,71.48,53.39,80.79,83.5,72.36,96.41,99.58,93.66,93.11,95.54,95.08,88.69,90.55,87.78
Lille - Dunkerque - Valenciennes,7.2,21.67,25.5,64.8,47.47,55.95,68.55,72.46,78.05,67.98,71.81,79.3,74.49,90.66,95.76,99.65,95.67,79.73,103.09,88.51,106.2,105.97,132.55,110.06,112.54,118.98,131.19,135.83,157.24,131.41,127.6,147.7,147.19,134.62,139.26,116.2
Montpellier,3.5,2.25,12,20,23.45,41.16,34.37,40.87,33.07,35.59,34.42,33.85,40.62,42.15,41.97,37.55,38.31,44.74,62.16,57.54,58.89,68.63,82.63,71.63,69.16,74.8,87.04,87.28,91.09,80.01,80.03,77.74,109.2,85.63,97.78,72.79
Saint-Etienne,3.5,11.5,22.87,31.33,29.42,38.8,31.47,31.87,44.11,49.17,52.05,49.33,65.57,46.53,46.09,48.17,43.73,42.41,37.91,50.06,50.89,51.44,43.87,44.8,48.23,46.39,47.09,63.57,60.1,56.59,66.77,77.43,60.27,72.61,87.81,59.36
Rennes,1.67,6.5,17,18.58,15.33,21.58,25.8,33.41,29.67,32.67,29.89,45.02,50.23,53.06,25.12,34.92,45.69,55.08,50.85,48.52,75.21,110.21,121.74,172.21,198.98,193.4,246.05,215.1,255.76,261.62,245.95,234.68,232.79,236.6,269.4,248.4
Amiens,0.5,2,1.5,7.67,13,11,11.25,6.23,13.62,11.65,15.42,18.73,16.17,14.33,13.58,16.9,21.82,24.7,20.67,25.29,26.06,34.35,37.81,18.12,23.79,16.05,30.72,37.07,38.5,25.05,34.65,29.96,20.42,29.04,47.68,23.75
Rouen,9,18.67,23.33,29.66,41.43,37,30.96,36.27,27.48,39.33,40.42,53.42,53.89,57.7,50.7,41.58,45.29,44.98,72.03,89.39,80.87,91.1,91.33,88.44,85.38,93.01,104.38,104.84,145.62,139.81,150.8,158.26,132.14,153.27,133.67,105.45
Nancy,2.4,9.15,7.5,11.9,15.42,22.93,23.36,30.04,28.67,25.85,23.57,35.72,47.83,44.98,38.05,30.25,32.39,20.91,23.88,37.82,49.37,46.36,40.05,63.51,50.09,43.51,34.76,37.73,29.03,53.42,64.31,45.2,51.21,38.28,44.59,49.04
Reims,2,2.67,11,13,13.5,13.58,15.75,19.93,14,24.75,33.58,36.33,31.08,23.47,28.47,28.77,18.75,23.58,26.57,33.67,36.54,35.15,35.89,43.86,41.6,44.6,41.76,44.08,39.61,54.23,37.42,36.98,46.76,41.88,43.21,46.75
Orléans,2,5.92,5.64,21,17.17,23.17,25.57,14.52,33.17,27.1,22.57,33.77,37.48,31.28,33.22,54.04,70.25,65.68,59.35,82.93,55.74,72.81,58.44,84.78,69.29,71,73.68,92.69,88.8,85.95,66.9,71.71,67.65,70.24,55.33,54.32
Dijon,1.5,8,16.58,17.5,20.5,21.5,19.33,32.42,27.08,30.25,36.43,44.37,53.15,29.99,28.03,45.8,33.83,67.96,36.93,48.66,36.48,44.34,54.87,50.1,56.35,60.53,54.02,45.78,43.48,43.18,40.76,38.8,40.67,47.6,59.95,49.97
Poitiers,:,:,1.5,3,10.83,5.5,4.5,8.25,7.17,6.08,8.93,8.98,7.5,8.2,5.71,16.97,21.38,15.67,19.12,21.39,30.1,16.27,20,15.4,24.08,25.58,18.47,16.9,23.73,23.39,30.37,29.68,33.36,26.3,26.58,23.67
Clermont-Ferrand,1.5,3,13.55,13.48,13.33,11.33,20.5,19.05,25.25,21.25,29.33,26,45.6,46.83,43.45,39.19,46.83,51.28,51.27,70.83,65.8,83.73,105,122.44,127.54,100.79,89.61,109.75,106.8,106.21,131.41,132.44,148.1,196.73,223.67,119.17
Caen,:,1.67,10.87,5.83,4.5,7,9.7,7.08,10.83,10.82,22.03,16.5,19.2,25.85,23.75,24.87,34.58,32.29,30.49,49.32,43.93,62.14,36.92,64.41,57.8,63.05,65.72,78.17,61.24,53.24,67.44,77.72,48.95,64.75,52.89,35.18
Limoges,:,1.5,2.5,4.5,5.5,5,4.5,6,4.33,10.67,12.86,15.58,13.53,8.97,14.17,13.83,12.25,10.8,16.67,24.31,18.83,29.33,22.8,26.5,22.33,22.28,34.44,30.58,42.02,40.05,25.22,35.91,26.83,36.57,28.38,22.3
Besançon,1,9,9.5,19.58,24.33,26,26.83,27.83,49.33,37.98,52.27,42.73,33.43,57.5,37.75,46.42,47.94,48.21,44.27,60.59,56.65,56,73.37,69.13,54.23,84.57,61.12,59.48,87.9,98.71,67.74,73.15,85.92,86.36,108.73,66.32
Grenoble,12.12,48.59,81,101.17,100.25,107.28,155.64,155.59,171.94,178.89,247.13,209.07,245.67,236.23,236.64,278.17,280.08,305.54,301.74,343.24,356.74,382.24,445.12,426.17,508.28,575.98,535.42,487.31,587.64,584.38,655.35,673.27,732,681.53,764.71,647.55
Toulon,:,2,6.33,6.33,9,12.7,17,9.63,17,13.12,23.03,13.6,32.98,26.83,21.64,16.61,23.29,24.19,28.48,33.51,29.01,35.17,38.88,64.77,45.07,52.6,40.04,39.3,60.99,46.4,58.19,56.31,70.78,53.17,55.03,38.72
Tours,2,2.33,3,8.67,13.33,5.33,6.67,12,10,14.83,17.92,28.33,28.84,37.21,34.53,22.48,28.08,27.63,31.98,47.13,47.62,30.55,58.15,60.45,64.76,49.03,65.4,61.07,61.28,49.84,54.53,46.15,63.05,59.89,73.92,60.84
Angers,1.75,13,5.42,7.5,5.08,11.17,14,17.75,11.92,16.17,21.87,19,18.03,22.72,16.19,23.7,20.95,22.62,19.2,32.3,28.58,27.19,32.94,32.53,40.48,48.77,60.7,41.94,41.8,61.27,51.93,49.97,53.63,60.75,58.1,46.08
Brest,2.33,6.75,8.67,7.23,7.08,6.83,9.58,12.5,7.33,9.25,14.4,14.5,16.29,18.92,20.2,12.39,13.96,20.11,13.33,18.83,15.71,20.64,18.43,21.62,28.62,35.8,37.36,28.91,40.3,37.18,48.38,39.15,60.6,58.75,53.1,41.04
Le Mans,2.33,4,7.83,9,7.33,9.17,16.08,8.33,10.7,14.5,17.15,9.83,20.78,16.92,16.5,35.28,18.56,19.14,31.87,22.5,35.24,37.6,33.18,32.38,35.67,33.56,30.07,39.61,44.27,33.31,37.63,38.39,58.97,65,42.75,34.52
Avignon,0.67,9,15.92,5.2,5.93,6.83,12.9,14.82,17.12,12.92,18.51,32.37,13.11,14.85,22.45,19.19,19.89,14.49,25.29,12.31,20.98,15.9,22.63,27.66,27.61,34.56,28.51,34.5,39.45,28.18,48.42,39.73,41.86,44.48,42.03,30.38
Mulhouse,2,10.75,18.07,27.08,26.95,44.75,43.73,42.08,35.92,35.27,55.7,51.81,50.52,55.27,61.66,63.23,47.06,62.57,65.22,80.16,81.81,92.77,115.55,114.47,129.14,135.9,170.34,147.38,178.23,178.79,182.08,148.56,119.37,115.89,125.61,97.4
Perpignan,:,1,1.57,1,0.5,2.5,4.33,4.5,0.75,1.5,12,3.93,8.67,5,3,4.17,3.6,5.82,5.5,5.5,5.33,6,8.63,3.97,10.45,17.91,9.74,13.41,8.68,12.83,7.27,10.36,12.79,18.9,15.88,8.25
Nimes,1.33,4.14,12.33,6.5,9.17,9,3.58,12,16.53,7.95,23.33,18.71,12.36,21.53,22.38,10.95,17.22,19.6,16.18,23.49,24.77,28.9,21.21,27.95,29.44,28.99,17.3,35.02,41.53,41.47,40.78,42.11,52.28,41.68,48.1,33.03
Pau,1,7,14.92,8,11.08,20.6,20.3,24.81,26.13,32.42,39.54,33.53,29.23,35.28,29.9,22.39,28.32,30.72,45.97,33.8,42.63,46.07,34.02,35.67,26.74,22.51,23.16,37.77,34.92,35.42,46.56,50.13,57.08,69.61,69.73,43.48
Marseille (NUTS 2010),4.5,22.92,29.82,34.27,45.88,51.67,48.18,74.8,76.68,66,75.78,92.17,98.51,113.19,107.09,75.77,78.7,95.92,98.07,117.55,138.84,140.39,157.55,155.25,160.89,151.68,171.96,174.39,181.86,178.96,220.76,237.02,237.19,248.95,250.11,220.53
Nice,4,30.34,23.47,39.17,55.83,59.38,66.99,52.59,79.63,74.03,84.62,100.16,104.73,103.3,97.46,93.4,90.92,115.93,97.11,118.34,108.74,140.48,164.25,180.57,145.05,180.24,191.27,201.75,216.71,235.93,231.66,222.64,211.54,191.11,198.18,166.55
Zagreb (NUTS 2010),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.26,:,12.98,10.85,13.7,10.23,:,25.39,28.46,20.87,27.42,:,20.64,18.65,:,17.18,10.64,1.83
Split,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,2,:,:,:,0.11,3,1,1,0.5,2,2,1,1,0.5,1,0.25,2.5,3,:,2
Roma,:,19.5,12.33,28.67,66.87,47.97,58.17,87.17,87.35,89.09,93.85,103.83,145.36,122.78,138.34,111.17,125.75,94.39,113.61,138.51,160.47,175.92,140.7,190.32,168.22,147.1,182.62,183.82,201.17,197.66,195.01,200.42,151.93,192.43,191.43,116.06
Milano,8.53,30.42,96.55,130.36,162.29,187.18,250.5,293.97,348.84,399.22,511.1,502.12,546.69,496.13,520.81,460.45,487.65,475.02,484.69,559.74,600.86,602.87,667.75,700.41,699.07,765.28,724.27,731.73,700.38,743.77,679.43,643.1,647.36,614.14,519.28,398.6
Napoli,:,2.33,1,8,5,4.17,6.03,3.42,13.25,14.83,10.78,9.83,7.16,13.03,12.42,20.98,14.56,12.44,14.31,27.6,18.08,25.4,24.97,28.66,31.67,26.51,36.19,38.41,62.03,65.84,45.89,64.52,50.39,44.7,33.55,28.95
Torino,3,16.5,44.83,88.23,111.33,116.02,148.58,164.58,147.77,179.42,187.73,220.14,246.66,218.55,183.7,215.05,175.36,201.2,205.5,245.05,227.02,267.72,284.48,272.81,298.82,348.01,406.26,426.53,440.23,420,405.34,396.57,274.31,294.64,327.58,261.71
Palermo,:,:,:,2,2,1,2,2,6,4.5,2.75,1.31,4.9,5,1.4,1.4,0.93,3.42,6.32,4.5,5.75,7.67,5,10.7,6.98,7.65,13.97,12.95,8.98,10.46,7.32,9.69,6.58,4.11,2.75,6
Genova,2,1,7.5,7.7,12.67,15.17,16.6,16.08,15.12,19.48,25.75,31.17,24.87,21.03,31.86,36.85,43.15,43.76,46.93,47.13,53.64,53.58,54.64,74.09,64.05,49.55,79.85,76.49,62.3,98.04,98.64,110.42,93.44,81.29,75.67,62.66
Firenze,2,4.5,4.42,16.67,19.67,18.62,31,26.5,55,38.36,58.93,42.12,60.13,70.13,73.87,41.03,43.21,47.38,38.72,55.17,53.55,54.97,60.88,75.22,88.59,74.29,87.97,71.91,66.92,88.94,71.17,80.88,89.19,106.79,101.57,72.42
Bari,0.5,1,:,2,2.5,3,7.92,3,2.5,9.3,9.5,7,7.67,7.83,11,11.25,13.33,8.4,9.58,16.21,19.33,15.48,21.17,18.78,22.64,13.09,17.48,34.49,28.85,34.16,26.19,32.4,27,26.69,35.23,18.97
Bologna,:,4.25,17.17,29.8,43.87,52.92,49.83,61.08,76.32,82.08,110.17,91.53,94.75,135.47,142.87,124.71,157.54,179.37,195.26,206.15,202.37,239.78,257.64,260.12,274.53,289.49,287.75,287.51,298.52,311.86,297.13,253.34,220.15,214.77,206.56,196.24
Catania,:,:,1,1,1,2,0.7,4.5,1.5,8.67,9.08,17.83,14.08,17.58,16.17,11.25,27.8,36.33,32.65,19.1,19.42,36.63,44.83,32.82,35.79,39.33,35.01,40.02,50.22,32.82,22.37,26.52,29.4,23.42,17.89,6.04
Venezia,:,1,2.25,8.5,7.17,5.95,2.5,5.03,19.18,18.7,14.85,26.5,21.94,15.77,21.38,19.71,13.83,19.08,18.37,27.5,36.53,28.4,29.57,28.92,36.31,48.27,36.27,59.67,54.07,66.69,59.67,61.77,66.88,49.02,43.8,50.17
Verona,:,3.67,4,5.17,8.33,7,9.75,15.17,10.77,9.98,13.03,14.58,14.75,22.28,27.69,25.42,33.8,27.58,24.78,34.96,50.81,43.63,49.53,71.59,80.16,67.77,99.3,93.28,92.83,93.03,97.99,72.69,66.38,70.97,78.18,69.8
Taranto,:,:,0.33,:,:,:,2,1,3,1,1.7,1.67,2.67,2,1,1.5,0.75,:,0.75,1.58,2.64,1.25,5,4.58,5.58,7.33,6,4.67,4.47,4.21,8.71,2.95,7.18,4.67,1.33,4.17
Cagliari,:,:,:,1.5,:,2,2.5,1,1,1.75,1.33,1.67,1,1.5,2.25,2.31,3.5,2.75,3,3.17,4.5,5.7,7.17,5,2.58,7.58,3.5,9.67,6,8.35,8.08,10.45,9.41,7.55,7.27,4.17
Padova,:,:,6,6.2,13.67,11.08,14.67,18.53,28.68,25.15,28.27,33.56,53.07,51.75,71.4,41.86,40.65,41.08,55.77,57.46,73.82,76.94,90.14,89.94,99.11,104.51,101.34,109.03,125.76,131.38,129.1,113.53,132.44,109.89,107.34,106.46
Brescia,:,3.67,8.5,9.5,14.33,10.9,16.53,13.25,20.6,34,41.25,57.21,54.96,49.96,48.5,42.92,41.92,50.83,43.67,65.05,85.18,76.4,94.2,107.03,95.46,106.54,111.42,164.93,133.4,137.86,130.47,134.55,154.33,118.31,137.74,94.09
Modena,:,4.5,10.33,14.58,14.33,12.67,12.5,14.67,19.7,15.17,39.25,36.67,37.05,44.67,44.1,31.5,51.33,42.83,46.05,75.5,71.08,86.23,117.13,151.97,123.3,135.23,153.31,123.62,115.61,158.26,151.25,134.38,135.24,157.39,118.17,106.54
Messina,:,:,:,3,:,2,1,2,1,1.5,1,3,3.5,2,1.14,2.5,3,3.67,4.67,4,8.58,8.33,10,6.23,6.1,8.28,8.4,11.76,7.87,10.19,3.33,5.64,4.08,9.65,3.67,1.6
Prato,:,:,:,0.25,:,0.5,1,2.5,:,2.5,3,1.75,2,4.5,8.48,3.58,5.5,5,7.33,4.25,3.93,5.53,8.69,16.13,16.86,19.94,20.54,9.39,11.41,11.37,10.71,9.93,7.03,19.33,5.59,8.49
Parma,:,:,4.42,9.83,7.5,8.67,7.5,13,33.25,17.39,29.2,20.67,33.71,28.67,36.92,17.78,20.95,31.87,28.68,26.17,53.04,42.57,47.58,66.78,59.32,67.46,69.31,62.19,76.17,75,79.37,83.83,96.51,80.38,93.91,76.67
Lefkosia,:,:,1,:,:,:,0.5,:,:,1.5,1,:,0.5,3,2,2.5,1,4,:,1.83,2.42,2,4.11,6.2,14.78,6.92,5.03,6,16.79,6.33,10.33,11.25,15.23,7.67,5.63,2.5
Riga,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.9,1.75,3.7,4.67,1.7,9.23,5.13,6.83,6.94,9.61,16.68,15.25,15.67,19.74,16.81,14.95,15.18,21.59
Vilnius,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,1,0.5,0.33,0.67,3,3.44,3.15,1.11,9.14,6.01,5.55,8.17,6.66,11.12,5,9,10.15,17.65
Kaunas,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,1,1,1,1,:,:,1,:,0.55,7.71,5.02,2.58,1.5,2.8,3.5,3,2.2,1.7,2.61
Luxembourg,4,17,22.56,24.46,37.97,40.33,29.08,24.97,31.05,25.83,16.04,29.1,17.27,40.83,28.22,23.97,34.46,21.01,28.78,41.21,50.69,74.23,62.48,79.45,71.98,60.72,87.17,113.87,96.91,105.96,72.45,91.91,74.93,76.13,69.65,57.85
Budapest,2,6,31.27,72.03,100.84,99.34,83.64,96.93,86.87,72.03,88.59,69.41,72.3,49.29,44.42,32.34,45.44,36.73,39.76,48.9,59.48,41.3,87.56,87.52,78.37,80.17,93.12,110.2,97.41,106.22,115.84,112.28,118.73,125.85,145.69,113.69
Miskolc,:,:,4,:,2.67,1.33,3.73,0.39,1,4.33,0.9,:,1,1,0.17,1,:,0.5,1.5,0.37,0.67,2,3.02,3.48,0.25,2.13,3.04,2.7,2.5,4.42,13.08,8.9,3.69,11.5,11.44,3.08
Pécs,:,:,:,1.1,:,:,0.91,0.08,0.17,:,3.75,2,:,0.33,0.08,1.2,1,0.93,1.5,:,2,2.78,1.11,1.76,0.6,2.83,2.78,2.17,2.2,5.48,8.45,5.55,2.96,6.26,4.85,3.8
Debrecen,:,:,:,3,4.1,0.13,9.07,4.45,6.7,1.88,3.36,5.23,3.93,3.37,1.04,4.73,1.36,1,2.73,3.4,1,1.5,7.8,12.45,6.93,7.19,10.13,12.76,11.81,13.02,6.66,6.24,4.36,3.7,7.51,6.43
Székesfehérvár,:,:,2.4,:,3.83,3.2,3.49,1.72,1.87,0.73,:,5.77,1.7,:,1.25,:,:,:,:,1.05,0.27,1.25,:,:,0.25,2.45,2.37,4.45,3.74,1.7,2.29,3.31,4.32,2.82,3.81,1.33
Valletta,:,1,:,:,:,:,:,:,1,:,:,:,:,:,4,4,1,:,1,2,2,4,5,4.5,3.95,4,3.25,5,10.83,6.85,4.5,3,6.27,3.5,:,4
