City,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
s' Gravenhage,8.67,18.73,26.75,32.92,34.25,41.87,29.17,39.42,47.7,46.25,42.81,36.68,52.65,50.13,59.02,58.67,59.39,71.68,87.3,78.75,94.08,70.19,85.6,83.82,88.17,85.87,102.69,88.62,126.48,126.44,131.18,155.89,157.26,119.2,79.12,65.77
Amsterdam (NUTS 2010),:,:,60.42,69.25,82.1,:,97.29,105,98.73,119.49,176.66,163.48,126.07,138.4,148.39,121.31,124.19,138.22,133.46,145.42,186.6,167.15,195.32,261.93,210.61,221.88,230.41,245.86,208.54,273.63,293.78,240.57,257.7,236.16,275.16,204.67
Rotterdam,2,5.28,24.28,44.88,54.33,46.63,66.03,43.33,53.12,67.85,75.73,106,107.97,91.61,79.26,80.52,97.37,74.99,102.35,103.82,132.86,131.68,146.74,163.52,150.14,162.85,170.86,160.25,180.85,153.42,177.99,154.89,134.8,143.85,129.09,127.47
Utrecht,3,26.42,31.13,52.38,39.87,39.78,45.48,52.33,52.57,45.05,63.46,83.14,86.74,81.88,58.48,68.79,83.97,85.38,97.95,110.79,133.9,167.13,156.19,173.28,152.94,171.85,169.55,181.32,205.66,212.55,211.05,199.66,202.77,189.33,125.33,129.9
Eindhoven,21.67,37.2,125.33,122.58,207.8,300.17,386,418.85,429.34,487.2,506.27,551.59,576.22,485.22,496.02,495.73,453.43,398.26,503.34,789.18,860.47,"1,048.99","1,286.78","1,593.35","2,231.49","1,784.84","1,640.47","1,594.24","1,449.04","1,531.23","1,139.56","1,245.89","1,302.60","1,093.95","1,430.93","1,061.68"
Tilburg,1.5,3,4.5,4.5,13.86,13.67,9.83,18.17,12.75,13.67,17.92,18.92,13.2,22.37,20.49,15.83,22.92,20.7,16.82,20.01,25.24,27.93,35.5,61.17,38.78,54.49,77.73,73.71,81.31,60.16,65.61,75.76,85.21,47.85,54.74,33.08
Groningen (NUTS 2010),:,:,1.75,0.83,:,12,13.83,10.25,9.5,:,16.06,13.58,18.52,10.43,13.53,:,23.05,29.74,31.68,24.42,23.22,35.9,28.26,35.16,33.59,47.86,39.66,32.27,29.64,45.26,:,44.94,44.97,35.61,35.84,17.84
Enschede,5,10.67,17.4,32.83,24.33,37.33,27.5,27.17,33.42,41.73,40.78,53.83,51.33,69.37,41.33,36.6,49.38,71.83,65.99,59,79.54,74.85,75.76,61.68,72.35,65.7,53.01,83.39,93.2,83.13,96.57,96.94,117.36,103.28,100.8,77.88
Arnhem - Nijmegen,5.57,18.33,22.67,20.67,24.27,29,28.5,20.75,23.12,31.17,36.17,38.22,50.7,43.83,43.78,51.71,60.51,65.13,61.44,55.68,60.3,78.33,63.52,84.41,86.16,64.26,81.69,87.62,101.68,89.78,80.6,98.96,96.85,101.27,99.52,57.63
Heerlen,15.2,26.83,44.92,62.83,45.5,29,46.08,47.72,45.5,39.33,57.29,43.93,45.33,44.08,50.17,52.87,46.56,50.48,69.18,102.08,99.48,83.77,102.61,109.68,109.43,115.73,126.44,111.51,139.33,153.46,158.27,139.81,114.7,87.22,74.57,55.1
Breda,2.5,8.67,6,6.5,19.5,31.58,25.93,29.07,28.38,38.02,36.25,48.93,53.57,31.55,40.3,30.46,29.62,45.69,31.97,36.87,67.92,61.17,63.46,55.9,55.89,49.21,59.13,72.34,89.95,77.47,68.78,81.15,62.73,66.82,60.6,53.37
s-Hertogenbosch,6,10.3,14.53,29,23.88,30.83,25.2,31.83,28.83,39.5,50.62,64.7,77.61,67.58,44.05,74.53,44.44,63.95,68.43,57.67,100.12,80.8,105,127.47,93.92,94.67,104.65,114.4,100.78,101.69,98.55,115.39,112.69,93.54,85.05,73.81
Wien,:,:,78.95,:,97.33,102.44,128.44,185.33,:,181.01,209.86,198.76,191.62,178.82,226.18,178.7,205.08,208.15,174.43,229.47,250.29,244.53,301.79,292.33,343.54,373.68,426.82,434.03,432.52,560.48,517.34,397.04,363,355.4,389.03,345.68
Graz,:,16,34.83,37.12,23.47,46.16,41.5,36.2,54.75,60.2,75.25,85.75,78.86,85.95,71.23,79.11,53.78,69.84,58.81,60.57,92.92,82.04,108.81,122.76,117.94,136.01,155.12,140.8,135.17,185.55,151.08,170.68,193.99,198.72,188.95,173.04
Linz,14,33.16,39.52,35.5,49.05,60.72,36.72,53.36,57.17,50.75,55.15,69.45,57.01,58.22,60.5,68.81,71.49,77.76,85.61,99.57,107.89,109.28,114.71,129.41,153.22,152.13,136.26,145.73,158.76,164.24,170.47,187.59,208.55,234.49,232.55,212.33
Salzburg,1,11.33,17.17,21.33,23.05,19.17,17.25,15.7,31.07,31.67,17.09,37.33,36.25,23.14,33.7,22.88,23.31,27.3,23.57,45.07,33.7,46.04,48.29,67.74,60.48,50.92,73.59,64.12,72.33,76.43,98.09,75.29,83.99,69.33,86.66,61.64
Innsbruck,1.4,5,11,7.17,18,18.57,14.33,20,23.93,12.94,17.67,19,11.83,18.83,19.92,23.12,29.02,20.32,15.13,16.17,22.83,38.37,38.66,30.72,53.3,36.75,38.91,34.82,47.63,50.13,60.42,79.59,48.41,68.92,66.36,59.55
Warszawa,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,18.37,30.42,20.41,39.91,25.43,22.62,38.42,36.1,46.57,79.69,69.21,93.09
Lódz,:,:,:,:,:,:,:,:,:,:,:,1.26,:,:,2,2,:,:,2.87,:,3.26,5,4.26,5.25,:,:,5.03,5.24,6.5,9.42,11.43,18.3,27.69,28.17,22.45,37.73
Kraków,:,:,:,:,:,:,:,:,:,3.42,5.5,:,:,:,:,:,:,:,:,:,:,:,:,4.45,:,10.27,8.75,14.34,6.72,11.66,19.72,17.46,38.92,28.39,53.23,51.9
Wroclaw,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.33,4.51,:,:,2.75,:,1.47,:,3.34,:,11.16,:,6.38,7.05,17.38,12.81,25.7,23.47,27.13,24.87
Poznan,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,2.6,:,0.63,:,:,:,:,5.17,:,4.4,:,6.63,9.65,12.43,13.61,18.88,23.87,10.5,21.11
Gdansk,:,:,:,:,:,:,:,1,:,:,:,:,:,:,2,:,:,:,:,:,:,:,2.67,:,:,:,:,2.57,:,2.48,7.79,8.48,8.08,12.04,19.93,16.73
Szczecin,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.88,:,:,:,:,:,:,1.33,6.31,3.38,:,3.91,3.91,2.77,5.81,12
Bydgoszcz - Torún,:,:,:,:,:,:,:,0.71,2.33,0.13,:,:,:,0.2,:,:,:,:,:,:,:,:,:,:,:,:,:,2.5,2.5,3.3,3.8,7.67,3,5.99,5.99,3.98
Lublin,:,:,:,:,:,:,0.17,0.5,0.33,0.5,1,:,:,:,:,:,:,:,1,0.92,:,:,:,:,3.17,0.33,0.2,0.67,1.31,2.5,6.92,18.57,6.11,7.21,7.17,2.42
Katowice,:,:,:,:,:,:,:,:,:,5.77,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.3,:,:,14.18,17.87,8.3,23.23,21.03
Bialystok,:,:,:,:,:,:,:,:,:,0.25,:,0.33,:,:,:,:,:,:,:,:,:,:,1,1,1.08,0.5,0.8,0.33,1,0.54,3,0.75,2.65,2.64,2.53,:
Kielce,:,:,:,:,:,0.67,:,:,:,:,:,:,:,:,:,:,0.25,:,:,:,:,0.5,:,:,1,0.5,3.5,:,1,0.7,3.17,3.17,5.04,2.7,5.75,4.06
Rzeszów,:,:,:,:,:,1,1,:,:,0.67,:,:,:,:,:,:,:,:,:,:,0.45,1.5,:,:,:,1,0.6,1.12,2.12,1.5,2,1.17,3.18,5.03,3.2,4.73
Opole,:,0.5,0.5,1,:,:,1.8,:,:,:,:,:,:,0.89,:,:,:,0.25,:,:,:,1,1.17,1.25,1.56,:,:,1.98,2.2,0.29,1.27,3,0.58,7.5,:,5.05
Czestochowa,:,:,0.4,0.33,:,:,0.25,:,:,:,0.22,:,:,:,:,:,:,:,:,:,2.33,:,0.14,3,2,2,1.25,0.29,1,3,:,3.08,4.94,1,0.67,3.43
Radom,:,:,:,:,:,:,:,:,:,:,:,:,0.25,:,:,:,0.67,:,:,0.2,:,1.5,:,:,1,4,5,1,5.92,6.25,3.53,5.5,4.4,13.31,11.18,14.29
Bielsko-Biala,:,1,1.4,:,:,:,:,3,:,0.53,0.17,1,:,:,:,0.33,0.5,:,:,:,:,1.3,:,:,2,2,2.55,4,2.33,4.94,1,6.54,6.32,7.42,5.32,11.64
Tarnów,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.57,:,:,:,:,1.53,:,0.75,1.5,1.83,1.63,2.17,0.33,0.48
Lisboa,:,:,:,2.8,2,2.2,:,4.25,:,4.33,:,4.9,4.25,5.25,6.92,4.6,7.67,8.4,7.66,8.17,8.5,11.42,20.38,11.9,17.9,:,23.25,19.16,52.08,38.66,52.21,37.16,37.56,32.89,45.42,24.41
Porto (NUTS 2010),:,1,:,:,:,:,:,:,:,:,1,1,1,0.5,0.5,3.25,3.83,2,2.33,1.87,1.83,4.21,4.48,9.42,9.83,12.83,17.62,10.14,17.98,23.82,23.17,23.01,16.51,16.96,16.51,10.67
Coimbra,0.33,:,:,:,:,:,:,0.17,:,:,:,:,:,:,:,1,2,0.5,:,0.33,:,:,1,4,0.25,0.25,2.48,3.43,4.03,4.47,6.25,7.33,2.03,5.69,6.7,6.17
Bucuresti (NUTS 2010),:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,6.45,11.68,11.77,15.15,:,:,16.17,18.1,17.53,30.31,32.17
Cluj-Napoca,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.33,:,:,:,:,:,:,1,:,:,0.33,0.4,1.33,0.33,1.83,0.25,0.45,2.42,0.5,1.58,4.74,3
Timisoara,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.5,:,:,:,:,1,:,:,:,:,:,0.75,0.33,0.9,0.73,4.93,4.12,1.33,0.5,10.1,4
Craiova,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,:,:,:,:,1,:,:,:,0.08,:,:,1,1,2.33,1,0.13,0.5
Constanta,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.17,:,:,:,:,:,:,2,:,:,1,:,:,0.5,:,0.5,:,:
Iasi,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.75,1.5,0.33,0.14,1.5,0.92,0.25,:,0.14,0.17,0.44,0.53,2.5,0.73,1.7,1,1.2,2.58,3.43
Galati,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,:,:,1,:,:,:,:,1,:,:,2,:,:,:,:,:,:
Brasov,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.83,:,:,:,:,0.14,:,:,:,2.1,0.39,0.58,:,2,1.75,1.6,1.58
Ljubljana (NUTS 2010),:,:,:,:,:,:,:,:,:,:,0.83,:,2,3.19,2,5.25,10.8,5.33,14.62,4.83,10.05,18.2,11.2,19.56,24.18,28.85,34.67,39.69,37.85,45.75,52.32,65.37,57.67,42.85,58.42,43.31
Maribor,:,:,:,:,:,:,:,:,:,:,:,1,:,1.5,:,0.5,1.5,1.67,3.33,1,3.5,6.75,4.5,2.86,2.84,9.07,2.31,7.54,6,1.5,6.45,2.45,5.52,4.35,8.49,7.84
Bratislava,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.67,1.25,3.03,2.25,5.67,3.12,4.87,7.49,4.28,9.67,14.44,10.57,7.69,11.04,15.7,12.78,19.91,9.44,15.34,19.25,5.77
Kosice,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1,:,:,:,1.5,1.25,2.67,2,:,2.67,6.45,1.25,3.42,2.33,5,3,2,2.83,3.93,2.5
Helsinki,2.5,4.5,15,43.25,44.15,43.5,62.1,72.45,77.15,87.7,117.32,117.77,150.82,162.48,150.46,227.08,264.74,317.5,321.65,402.51,492.42,525.71,691.87,653.4,659.42,602.25,575.83,659.11,637.67,672,631.33,629.33,636.39,688.16,634.01,635.97
Tampere (NUTS 2010),:,5,4,9.17,8,8,7.67,15.67,16.37,33.35,22.38,41.09,34.34,52,47.37,52.98,52.07,74.33,88.88,106.16,139.07,194.45,245.55,260.2,273.19,244.18,251.02,299.89,273.86,251.79,192.82,199.38,189.79,232.05,207.55,200.28
Turku,:,2,3.83,8.17,9.83,5.57,12.25,11.23,12.95,18.17,28.18,44.45,61.44,47.97,70.03,70.13,67.59,81.85,63.15,90.94,88.5,130.85,111.74,148.64,156.95,125.57,174.23,129.27,120.02,95.53,116.24,93.91,95.31,67.99,91.81,102.71
Stockholm,36.58,76.7,137.76,176.76,174.24,257.1,257.3,232.35,283.47,230.23,266.47,255.86,276.74,275.07,287.73,395.94,369.94,448.8,514.78,597.33,715.94,719.61,731.89,721.04,617.48,564.97,566.36,651.92,690.26,791.33,900.07,975.93,874.9,990.44,939.81,830
Göteborg,12.65,34.88,61.86,87.51,127.43,138.68,128.4,133.98,168.33,130.77,153.23,145.46,154.49,173.2,154.33,163.14,200.63,227.61,257.25,302.59,374.48,363.38,356.63,398.79,461.92,450.24,441.52,466.88,509.53,476.32,514.58,426.77,392.57,415.88,407.96,320.34
Malmö,21.3,61.5,75.38,112,137.23,141.45,142.33,133.6,138.07,136.03,146.23,130.41,127.15,144.06,140.58,144.51,160.12,175.69,226.06,241.48,281.47,294.74,402.42,401.32,413.62,388.06,401.73,438.31,450.23,501.29,553.09,506.91,465.49,489.37,525.33,503.09
Uppsala,0.33,3.58,9.81,20.12,18.6,17.7,33.2,42.08,38.01,33.23,30.19,51.86,33.65,46.83,39.05,50.99,44.07,64.15,60.54,78.84,86.38,105.98,112.4,124.02,112.66,107.9,107.34,92.5,120.28,115.1,151.12,125.53,141.8,127.25,131.11,88.64
Oslo,4.5,11.58,29.25,23.58,27.16,26.5,22.17,50,41.78,43.23,34.4,50.87,67.74,59.11,59.45,76.38,75.88,68.92,68.39,101.74,120.61,134.07,123.94,132.85,124.55,160.77,136.98,150.42,147.54,189.69,172.94,150.54,192.66,175.61,149.59,146.4
Bergen,:,1,:,1,4,2,1,6.83,4.25,7.5,4,12,10.67,2.95,6.58,6.7,3.67,5,21.18,17,14.8,27.46,22.25,24.25,16.32,21.65,20.83,23.45,35.87,32.48,38.97,46.44,61.88,53.97,37.81,12.05
Zürich,37.17,127,208.05,224.48,260.29,292.46,357.34,346.69,380.28,343.51,378.83,442.03,434.89,398.51,418.38,420.25,387.13,367.36,369.23,411.38,457.7,582.55,523.91,618.19,568.5,535.91,587.74,643.97,741.51,665.38,687.55,665.03,623.28,620.36,640.64,536.23
Genève,10.33,42.48,67.92,66.18,80.43,69.85,88.83,101.02,89.3,78,90.98,95.91,80.77,48.68,48.13,58.45,49.7,67.75,47.98,62.49,87.26,77.32,89.04,79.61,102.38,110.92,103.05,107.44,132.75,95.97,85.58,80.1,63.61,100.28,105.73,53.27
Basel,79.11,179.02,234.81,256.89,229.73,255.81,229.97,269.79,237.84,245.08,287.43,246.26,277.36,228.09,205.84,226.33,201.69,248.37,258.36,286.48,286.96,298.11,331.01,367.19,416.03,398.82,473.11,453.35,532.26,528.49,436.04,418.19,376.16,384.05,399.96,315.49
Bern,7,33.08,50.9,63.5,76.43,68.28,94.37,101.71,121.9,87.52,99.86,111.89,112.53,94.37,111.67,117.5,107.35,108.46,117.34,130.96,185.42,176.6,219.61,217.56,197.49,195.82,212.53,246.52,257.91,235.51,262.84,209.53,220.02,242.46,239.58,186.14
Lausanne,9.25,38.17,59.7,61.08,87.75,82.58,99.5,99.42,99.6,84.62,83.63,85.33,124.28,148.17,112.88,110.31,117.34,140.58,150.89,158.21,164.26,177.22,225.74,267.89,267.67,268.25,260.21,323.54,288.63,347.65,326.45,380.98,416.52,463.68,397.96,314.68
London (NUTS 2010),:,:,:,:,188.08,:,:,:,:,:,:,686.5,:,800.68,736.02,768.97,750.59,707.84,810.36,927.83,"1,020.50","1,129.83","1,263.54","1,325.97","1,228.07","1,350.88","1,284.97","1,357.89","1,246.13","1,185.90","1,112.37","1,041.16",:,"1,135.80","1,072.05",922.29
West Midlands urban area,:,:,:,:,:,49.19,54.08,38.84,:,51.7,59.05,73.01,86.39,56.03,76.2,82.69,83.72,84.76,75.18,84.07,106.11,101.52,119.09,117.29,114.07,99.24,83.72,95.87,119.74,102.41,92.27,98.5,74.32,87.11,76.37,68.27
Leeds,:,5.5,7,:,:,8.33,9.93,16.66,12.5,12.67,19.42,36.25,31.17,27.2,40.85,25.83,30.13,43.82,43.75,44.5,55.99,53.26,75.01,61.72,55.92,46.53,52.45,52.95,47.51,50.49,58.47,67.89,52.71,52.4,45.58,43.25
Glasgow,:,:,6.77,:,12.66,:,23,:,20.58,23.33,22.42,28.52,38.59,33,24.52,26.18,38.56,30.68,43.19,48.64,45.09,57.1,69.2,72.86,70.32,78.82,56.5,70.88,71.26,69.13,63.55,57.54,72.6,54.25,58.98,45.94
Bradford,1,3,1.17,3.5,9.25,4,7.17,7.33,10,12.83,21.23,16.67,10.62,13.18,18.9,17.08,12.83,9.82,17,20.81,23.68,23.5,39.76,46.72,34.12,25.75,34.3,38.56,34.83,37.38,32.9,24.98,20.45,35.58,35.64,26.78
Liverpool,:,:,:,:,8.7,11.23,27.05,37.58,40.6,50.56,67.97,76.48,82.17,83.52,74.81,72.06,69.5,69.29,59.27,63.73,66.11,86.88,118.56,125.27,90.95,105.51,87.96,104.3,93.28,107.69,92.74,131.94,100.91,130.88,127.66,74.99
Edinburgh,:,:,:,:,:,:,:,:,:,21.5,23.33,16.84,:,23.24,20.42,17.05,29.65,29.67,46.88,33.36,43.21,49.79,57.49,73.57,84.29,95.47,91.67,84.01,100.11,100.76,106.56,104.6,114.99,77.33,86.64,50.62
Manchester (NUTS 2010),2.33,17.92,28.53,33.58,35.5,40.48,42.79,60.33,63,61.47,69.88,84.43,95.62,98.8,94.13,97.22,88.43,83.91,95.22,99.96,108.76,124.71,107.86,131.99,120.59,118.79,131.89,120.81,152.04,119.63,123.21,109.06,98.74,114.51,127.22,98.55
Cardiff,:,:,:,:,:,:,11.16,11.66,15.08,:,24.37,19.31,32.39,15.5,17.67,25.49,31.28,30.47,39.26,42.51,42.43,49.44,52.16,59.7,61.32,44.28,63.99,53.04,45.26,43.61,48.64,49.63,56.12,41.11,58.96,38.08
Sheffield,0.5,:,3.98,5,6.58,5.42,11.75,10.83,13.42,7.25,15.68,12.17,15.42,11.17,11.9,18.35,15.5,12.28,13.25,19.46,28.77,16.18,35.05,38.74,34.28,42.25,33.24,30.66,42.97,38.15,35.8,48.07,27.8,33.16,37.52,27.28
Bristol,3.5,4.33,17.67,17.5,15.5,20.58,25.2,24.36,26.45,51.99,52.7,58.67,80.88,69.74,69.03,71.65,63.98,107.11,83.32,118.22,111.57,164.76,190.86,217.04,201.88,168.79,157.2,194.26,194.95,176.17,218.05,205.13,189.69,187.14,228.29,171.96
Belfast,:,2,:,:,:,:,3,:,5.33,3.75,3,2.58,4.5,5,12.16,2.75,7.92,11.87,9.48,7.28,10.65,9.53,23.9,21.16,18.92,18.17,16.66,22.19,38.24,36.16,26.75,21.58,29.12,19,21.69,18.7
Newcastle upon Tyne,1.83,6.56,:,7.5,12.83,7.5,16.83,11.7,15.67,15.83,14.97,22.27,28.35,37.39,35.36,32.42,45.99,78.54,86.22,80.44,70.53,69.3,72.38,61.38,45.6,49.36,67.88,73.8,59.64,69.97,58.97,107.79,104.93,66.98,88.31,76.81
Leicester,:,6.67,5.25,15.22,14.47,11.33,20.17,18.58,20.17,28.2,19.1,47.39,58.57,50.34,66.18,56.95,43.44,58.67,54.28,77.25,83.03,98.94,108.68,108.26,81.21,101.97,118.81,79.54,108.64,106.61,92.86,79.62,81.97,71.03,85.29,79.36
Aberdeen,1,2,1,1.4,:,5.5,14.55,7.58,7.7,3.5,10.85,18.44,20.17,21.67,19.5,22.83,20.08,35.88,49.1,43.27,49.25,51.72,62.58,71.51,63.4,48.93,52.4,57.73,45.68,74.9,129.35,99.97,95.2,89.11,84.65,79.14
Cambridge,1,3.25,11.45,15,32,31.95,47.33,78.22,54.88,77.87,65.14,86.12,100.43,116.58,100.39,115.04,143.93,144.99,167.62,225.92,239.62,259.54,331.62,325.67,364.4,312.35,353.83,378.28,376.64,360.31,350.66,300.26,271.45,313.06,316.48,229.99
Exeter,:,:,0.5,1,3,3.25,7,8,6,8.5,4.5,13.17,12.33,15.5,14.85,13.57,20.12,12.82,22.5,23.98,29.2,25.12,41.62,40.57,46.19,38.98,27.7,31.93,35.5,32.21,24.85,26.7,25.43,27.85,13.78,19
Portsmouth (NUTS 2010),:,0.25,:,0.83,2,1.5,:,1.71,1.2,1.83,4,5,2.33,5.03,0.83,2.5,3.25,0.25,5.87,1.83,1.83,2.79,6.4,1.08,3.42,8.12,3.9,3.08,5.25,2.79,7,3.87,7.75,2,12.53,4
Coventry,:,3.33,5.5,15,18.34,20.66,26.75,29.75,33.91,46.91,46.21,67.68,65.21,65.16,56.45,76.38,89.92,87.81,67.83,112.47,87.33,99.75,94.2,114.84,107.15,92.22,99.68,93.79,69.6,97.82,77.08,74.95,99.21,167.93,170.41,146.97
Kingston upon Hull,:,:,:,7.5,13.5,17.45,17.61,16.17,14.55,23.28,23.9,36.27,26.25,26.78,29.15,17.54,28.42,29.2,34.86,38,26.55,50.76,32.01,37.32,45.89,55.53,43.81,44.34,68.36,38.76,68.5,31.83,23.14,23.53,36.64,14.12
Stoke-on-Trent,:,2.33,4,:,9.66,11,15.92,22.08,24.17,:,35.46,24.54,22.4,29.73,34.08,34.69,39.73,41.25,35.8,44.63,55.27,58.29,58.69,63.6,56.1,66.09,54.61,:,59.78,41.85,54.47,46.51,57,64.86,59.4,66.44
Nottingham,:,:,4.83,5.67,13.67,8.75,19.96,15.48,19.33,26.86,34.3,44.62,56.21,50.84,62.18,59.26,64.77,78.95,83.95,90.22,97.35,108.88,128.15,132.83,137.27,115.32,125.63,111.14,112.56,138.23,133.14,129,111.02,111.58,163.44,82.17
Kirklees,1,2.33,1,4,8.58,9.83,6.75,9.33,12.17,9.33,12.82,18.25,15.2,20.77,24.42,16.95,22,31.9,27.73,31.62,37.7,37.67,48.35,49.27,38,45.07,33.65,34.66,27.2,29.1,17.48,34.17,29.43,23.8,22.74,20.62
Doncaster,:,1.5,2,7,2.42,1.5,5,2.74,8.42,5.33,4.98,10.85,6.5,4.33,8.67,9.5,11.08,5.94,12.17,11.37,14.5,13.62,12.92,16.09,15.42,21.43,15.48,14.23,19.08,17.7,15.32,22.49,9.93,22.25,14.35,10.31
Sunderland,:,:,2,1,4,4,1,1,2,2,1.75,1.33,3.62,2.33,5.87,3.08,2.5,2.25,1.58,2.67,6.42,2.58,:,4.15,1.08,0.2,2.98,7.08,6.68,14,7.92,3.95,6.18,8.45,4.42,7.58
Brighton and Hove,:,1,:,:,:,2.67,3,3,4.17,2,5.25,7.92,4.5,4.5,4.77,7.17,7.02,10.53,14.33,6.98,16.45,8.25,11.64,5.42,14.17,17.36,15.64,9.53,13.49,15.88,16.45,6.23,12.87,12.95,12.78,12.97
Swansea,:,:,:,:,:,3,5.5,6.66,11.45,2.5,5.25,11.5,8.5,12.86,17.09,11.7,8.38,8.02,13.04,7.41,16.25,16.91,18.05,25,20.85,16.81,25.61,20.94,15.73,22.43,25.71,16.71,20.42,11.35,19.12,9.38
Derby,:,:,1,:,:,1.5,1.33,3,0.5,2.75,4.25,12.83,6.75,6.5,23.65,8.67,9.67,10.53,10,14.53,9.37,18.18,25.75,17.85,26.42,26.43,41.73,44.93,39.6,40.27,35.2,80.9,70.82,59.88,110.05,40.48
Southampton,:,1,1.5,:,2,2.83,1,3,4.92,1.5,4.33,3.67,6.73,17.58,11.58,16.23,13.12,21.27,16.62,10.99,16.48,21.82,32.68,32.88,40.76,38.81,52.67,35.36,34.32,41.6,34.28,48.62,17.2,23.79,25.85,27.12
Bournemouth,:,:,:,8.33,3,5.5,10.5,15.17,20.94,16.33,16.91,29.44,30.24,28.64,31.81,29.75,31.22,29.72,29.6,28.46,36.7,30.99,42.75,47.18,64.02,60.53,44.19,45.6,51.22,50.75,43.25,60.18,40.54,41,57.13,43.97
Reading,5.5,11.5,12.37,16.83,13.75,20.17,42.83,36.49,38.78,50.98,51.23,99.07,83.6,112.49,98.96,95.9,82.63,84.88,107.39,110.3,126.83,167.22,187.43,196.25,176.97,169.63,174.84,143.93,179.13,196.54,215,202.15,216.79,196.8,197.35,134.68
Blackburn - Blackpool - Preston (NUTS 2010),:,:,:,:,:,:,:,:,:,:,24.42,45.54,36.41,40.03,40.4,50.35,44.14,:,50.33,:,:,79.78,68.05,72.63,60.65,55.71,:,60.63,71.98,82.93,64.85,61.68,:,36.2,59.73,:
Middlesbrough,:,:,:,1.5,:,:,3.67,6.2,4.33,6.6,12.66,11.5,20.09,14.08,25.25,26.52,25.12,14.98,18.73,22.77,20.55,23.64,18.73,30.44,24.89,30,31.36,26.64,28.52,36.7,19.31,28.52,27.2,23.75,29.94,13.21
Norwich (NUTS 2010),:,:,1.2,3.83,1.79,6,1.5,13.48,6.75,10.5,19.42,23,22.47,31.83,20.5,26,16.75,28.08,36.88,34.08,38.43,48.07,45.57,44.05,31.23,35.17,26.48,40.69,41.7,35.37,55.68,30.87,45.4,37.57,28.26,29.58
Cheshire West and Chester,:,:,6.83,:,:,:,30.96,23.9,27.05,34.43,42.17,45.84,41.13,44.06,66.94,55.37,59.44,50.37,61.36,49.74,50.15,53.19,47.17,51.9,48.38,60.73,41.12,39.59,57.48,60.45,62.94,43.39,56.03,50.59,48.56,33.77
